accelerometer_timestamp accelerometer_x_data  accelerometer_y_data  accelerometer_z_data
1493846016073 -2.8766937  5.2964783 7.6198883
1493846016073 -2.0580292  5.2935486 6.73526
1493846016078 -2.282959 5.127304  7.698227
1493846016098 -2.4868011  4.9733124 8.601883
1493846016118 -2.2700043  5.0189667 8.407059
1493846016137 -2.3557892  5.2556305 7.8399353
1493846016158 -2.4500427  5.271103  7.5531464
1493846016178 -2.88237  5.056137  8.081848
1493846016198 -2.7486115  4.9792175 9.014252
1493846016217 -2.1634064  5.1356354 8.4344635
1493846016237 -1.599472 5.21817 7.649933
1493846016256 -1.9784393  5.179184  6.7814026
1493846016277 -2.600174 5.216095  7.4310455
1493846016296 -1.9073486  5.0720215 7.631729
1493846016315 -1.6611023  4.6255493 7.650543
1493846016335 -1.9174652  4.591736  7.6360626
1493846016355 -2.9897003  5.202835  9.812088
1493846016375 -1.6679382  5.115906  9.100555
1493846016395 -1.5930023  4.534073  6.855362
1493846016414 -1.1604614  4.267929  6.7131805
1493846016434 -0.59239197 4.1527405 8.363007
1493846016454 -0.894104 4.405319  9.754211
1493846016474 -0.7774811  4.661026  8.346863
1493846016494 -0.78074646 4.954422  8.162277
1493846016513 -1.2458038  5.280884  9.6017
1493846016533 -1.7170258  4.980835  8.691498
1493846016553 -2.2130432  4.8666534 7.562393
1493846016573 -2.3625488  5.2027283 8.005936
1493846016596 -1.2034302  5.3188477 7.543274
1493846016612 -0.71203613 5.25737 7.4972076
1493846016632 -0.38308716 5.1071014 8.176117
1493846016652 0.24214172  4.2234955 9.063141
1493846016676 0.068573  2.810318  10.245483
1493846016724 0.098358154 1.8072815 8.6586
1493846016724 -1.3036652  3.4111633 7.5431824
1493846016731 -2.1614075  3.561554  7.97287
1493846016752 -1.5588684  4.269409  8.10704
1493846016771 -2.4990082  3.8075562 9.449173
1493846016791 -4.3630066  2.6815643 8.950195
1493846016810 -15.300735  2.5269623 11.720993
1493846016830 -5.4070587  4.632187  10.841339
1493846016850 1.2404022 3.1616058 12.203278
1493846016870 12.970413 10.666229 -5.7013397
1493846016889 10.399506 8.1371155 2.1407013
1493846016910 10.885727 2.8812103 0.65818787
1493846016929 0.6480255 3.2909393 11.293716
1493846016949 6.5094757 3.6785278 10.965118
1493846016968 6.730896  2.4566498 10.093216
1493846016988 3.56279 -0.36288452 7.1058044
1493846017008 1.9874725 -2.4740448  3.1783752
1493846017028 -3.0941925  -4.705078 3.486786
1493846017048 1.9404907 -5.249695 2.7872467
1493846017068 4.3728485 -4.7534485  1.314331
1493846017087 2.8682709 -3.9548492  4.27359
1493846017107 0.95843506  -2.7763824  8.470367
1493846017127 2.6329803 -5.2784576  10.048889
1493846017167 1.5709229 -4.845413 13.084793
1493846017186 3.5093079 -3.9842377  9.356232
1493846017207 6.126297  -4.7718964  0.23175049
1493846017226 -1.2047272  -10.023315  -0.5053406
1493846017246 1.4531708 -14.677948  -1.998703
1493846017265 3.5772247 -18.989075  0.079574585
1493846017285 11.274109 -19.237793  6.9793396
1493846017305 19.461044 -17.037994  15.6839905
1493846017325 19.461044 -14.236069  19.277008
1493846017345 19.461044 -10.942215  18.98639
1493846017364 19.461044 -6.905731 17.86644
1493846017384 19.461044 -6.6000214  17.620758
1493846017404 18.70581  -5.8491974  10.387772
1493846017424 15.556595 -4.99881  7.1737213
1493846017444 14.259369 -2.8183594  4.480179
1493846017463 16.010208 -0.22409058 2.6748047
1493846017484 17.702576 2.3918457 -0.7346039
1493846017503 15.341736 -0.86439514 -1.4061279
1493846017523 15.031189 -7.737671 1.3744507
1493846017543 10.798401 -8.030609 1.4485168
1493846017563 8.42334 -8.042664 3.9568176
1493846017582 9.381073  -6.3072205  6.9918823
1493846017603 10.918701 -2.7886658  8.51796
1493846017622 6.288376  -0.5389099  7.697937
1493846017643 -6.5689087  -6.5829773  3.927063
1493846017661 -2.8137817  -7.7951813  3.1859589
1493846017681 0.8265991 -5.6877594  -3.4624481
1493846017701 2.3922882 -4.063507 -6.612503
1493846017721 1.71344 -2.2766113  -6.5092316
1493846017740 3.4227753 -5.2844086  -0.093688965
1493846017760 10.544144 -7.9702606  3.5598602
1493846017780 14.474777 -6.6445923  0.69511414
1493846017800 12.660843 -7.06546  -1.8908691
1493846017820 10.3120575  -7.25737  -2.5758667
1493846017839 12.566391 -7.494385 -4.1211243
1493846017859 9.560562  -12.188629  -1.8918152
1493846017879 5.8943024 -14.220444  -1.6260376
1493846017899 7.7732544 -10.073349  -2.841858
1493846017919 6.1280365 -7.1923065  -0.92974854
1493846017938 4.868347  -6.8209534  0.5366974
1493846017958 4.520279  -6.6173553  -1.2835236
1493846017978 5.1274567 -6.476837 0.015167236
1493846017998 4.2017365 -8.0186615  0.41433716
1493846018018 6.2942963 -6.481949 -1.0473633
1493846018037 7.1169586 -8.387436 -3.6181335
